commit_hash;modified;file_modified;CBO;WMC;DIT;NOC;RFC;LCOM;LOC
8bf04e968;56;7;6.76;10.26;1.73;0.15;8.62;506.54;19540.00
b5c7957c4;22;1;6.76;10.26;1.73;0.15;8.62;506.54;19540.00
8a62afb5a;9;2;6.77;10.25;1.73;0.15;8.63;506.48;19558.00
a9ef16b32;82;4;6.77;10.25;1.73;0.15;8.63;506.48;19558.00
42a355a62;68;2;6.77;10.25;1.73;0.15;8.63;506.48;19558.00
b17bd1a62;75;3;6.77;10.25;1.73;0.15;8.63;506.48;19558.00
52ee8ed9e;2;1;6.77;10.25;1.73;0.15;8.63;506.48;19558.00
06a06e6ed;55;1;6.76;10.27;1.73;0.15;8.63;505.39;19643.00
4c1975371;4;1;6.76;10.27;1.73;0.15;8.63;505.39;19643.00
4d8f008cb;74;2;6.76;10.27;1.73;0.15;8.63;505.39;19643.00
4ed9c5116;71;2;6.76;10.27;1.73;0.15;8.63;505.39;19643.00
5d6ac534b;425;17;6.76;10.27;1.73;0.15;8.63;505.39;19643.00
3480eb930;416;17;6.76;10.27;1.73;0.15;8.63;505.39;19643.00
08be74178;62;2;6.75;10.29;1.73;0.15;8.67;504.31;19735.00
27c309f88;4;2;6.75;10.29;1.73;0.15;8.67;504.31;19735.00
340bed9cd;11;1;6.75;10.29;1.73;0.15;8.67;504.31;19737.00
f51cd52c6;6;1;6.75;10.29;1.73;0.15;8.67;504.31;19740.00
99a620a38;143;10;6.73;10.26;1.72;0.15;8.59;501.40;19772.00
ad8ca8e58;57;1;6.73;10.26;1.72;0.15;8.59;501.92;19778.00
15fea59b8;59;2;6.73;10.26;1.72;0.15;8.59;501.40;19772.00
ea4d43a79;115;18;6.73;10.26;1.72;0.15;8.59;502.40;19784.00
3e11dc060;115;18;6.73;10.26;1.72;0.15;8.59;502.40;19784.00
748fb50f6;88;4;6.73;10.26;1.72;0.15;8.59;502.40;19784.00
e1cb606ab;46;1;6.74;10.27;1.72;0.15;8.60;504.29;19792.00
5387e206a;7;1;6.73;10.28;1.73;0.16;8.58;506.39;19703.00
b0bc478fb;69;2;6.73;10.28;1.73;0.16;8.58;506.39;19703.00
aff44822d;41;1;6.74;10.27;1.73;0.16;8.55;504.17;19787.00
30905fc42;26;1;6.76;10.19;1.72;0.16;8.46;501.64;19820.00
9f2beac79;122;4;6.75;10.19;1.72;0.16;8.45;501.07;19848.00
7ba9a3e04;172;4;6.76;10.20;1.72;0.16;8.45;500.07;19902.00
a1c3ba9c8;4;2;6.76;10.20;1.72;0.16;8.45;500.07;19902.00
bc1c705e5;508;5;6.76;10.20;1.72;0.16;8.45;500.07;19902.00
d91ee5a63;579;5;6.76;10.20;1.72;0.16;8.45;500.07;19902.00
f00533c91;314;3;6.76;10.22;1.72;0.16;8.47;501.85;19948.00
2adb1fa6e;379;5;6.76;10.20;1.72;0.16;8.45;500.07;19902.00
7194f3eca;57;1;6.76;10.22;1.72;0.16;8.47;501.85;19948.00
421b9a4e1;48;2;6.76;10.22;1.72;0.16;8.47;501.85;19948.00
12c0e3011;2;1;6.76;10.15;1.73;0.16;8.47;502.33;20024.00
d6345dc92;24;5;6.76;10.09;1.74;0.15;8.43;504.82;20081.00
51dd03b47;2;1;6.79;10.24;1.74;0.16;8.43;546.14;20115.00
9f2c43575;686;17;6.77;10.22;1.74;0.16;8.42;545.00;20117.00
95dde6fbf;38;2;6.79;10.25;1.75;0.16;8.30;550.49;19874.00
4e50ea491;140;3;6.82;10.22;1.75;0.16;8.31;548.20;19915.00
7bdcb5948;159;14;6.79;10.25;1.75;0.16;8.30;550.49;19874.00
a5d99b726;27;3;6.82;10.26;1.75;0.16;8.35;547.39;20031.00
0fe6e5548;3;1;6.82;10.25;1.74;0.16;8.34;545.13;20117.00
2770e4dd0;18;1;6.82;10.25;1.74;0.16;8.34;545.13;20117.00
86902355b;513;6;6.82;10.26;1.74;0.16;8.34;545.40;20120.00
dc94f561a;53;3;6.82;10.27;1.74;0.16;8.36;546.24;20155.00
fbba23e3d;2;1;6.82;10.27;1.74;0.16;8.36;546.24;20155.00
0ffb50f76;22;4;6.86;10.28;1.75;0.16;8.36;551.06;20278.00
175f7de3e;18;1;6.87;10.27;1.74;0.16;8.38;549.95;20337.00
09695b4ae;2;1;6.87;10.27;1.74;0.16;8.38;549.95;20337.00
fc0ca6e15;250;4;6.88;10.30;1.75;0.16;8.39;551.95;20452.00
ba06bffaa;112;3;6.87;10.27;1.74;0.16;8.38;549.95;20340.00
2e39d9923;4;2;6.88;10.30;1.75;0.16;8.39;551.95;20452.00
27ce955df;4;1;6.88;10.30;1.75;0.16;8.39;551.95;20452.00
396f2f6d1;114;2;6.88;10.29;1.74;0.16;8.39;551.26;20474.00
a80b657e2;12;1;6.88;10.29;1.74;0.16;8.39;551.26;20474.00
27c63b6a4;119;1;6.88;10.29;1.74;0.16;8.39;551.26;20474.00
f4a18fdb9;11;2;6.88;10.29;1.74;0.16;8.39;551.26;20474.00
1ad606b71;104;1;6.81;10.39;1.74;0.17;8.40;558.80;20629.00
0e7b8eaa6;2;1;6.81;10.45;1.74;0.17;8.45;558.95;20716.00
7d6529137;3;1;6.81;10.45;1.74;0.17;8.45;558.95;20721.00
e0532b71f;43;5;6.80;10.45;1.74;0.17;8.47;556.69;20815.00
205fea699;249;5;6.80;10.45;1.74;0.17;8.47;556.69;20815.00
59454ea47;184;4;6.80;10.45;1.74;0.17;8.47;556.69;20815.00
b9c00a8e5;6;1;6.80;10.45;1.74;0.17;8.47;556.69;20815.00
a1758c4b9;82;4;6.80;10.45;1.74;0.17;8.48;556.69;20815.00
140663775;155;2;6.81;10.45;1.74;0.17;8.48;557.12;20821.00
bc9d59441;150;2;6.83;10.43;1.74;0.16;8.44;553.84;20975.00
55f3bb2a3;6;1;6.83;10.43;1.74;0.16;8.44;555.81;20981.00
7058126ad;42;2;6.83;10.43;1.74;0.16;8.44;555.81;20981.00
ac3b5b195;2;1;6.83;10.43;1.74;0.16;8.44;555.81;20981.00
3481ed1ee;503;5;6.83;10.43;1.74;0.16;8.44;555.81;20981.00
913e80046;515;5;6.83;10.43;1.74;0.16;8.44;555.81;20981.00
090f99e13;5;1;6.83;10.43;1.74;0.16;8.44;555.81;20981.00
e1b383840;16;3;6.83;10.42;1.74;0.16;8.45;554.71;20999.00
